,positive,negative,positive_percent,negative_percent,total_calls,term_frequency,idf
000,150.0,184.0,0.4491017964071856,0.5508982035928144,334.0,0.00668,5.701701086168938
10 10,657.0,72.0,0.9012345679012346,0.09876543209876543,729.0,0.01458,5.187796506814656
10 minut,77.0,286.0,0.21212121212121213,0.7878787878787878,363.0,0.00726,5.88226207912786
10 year,156.0,175.0,0.47129909365558914,0.5287009063444108,331.0,0.00662,5.95901206074442
100,360.0,414.0,0.46511627906976744,0.5348837209302326,774.0,0.01548,5.088780183728202
11,230.0,205.0,0.5287356321839081,0.47126436781609193,435.0,0.0087,5.581473659170778
12,286.0,281.0,0.5044091710758377,0.4955908289241623,567.0,0.01134,5.414569826179444
13,202.0,241.0,0.45598194130925507,0.5440180586907449,443.0,0.00886,5.627435794735414
14,163.0,142.0,0.5344262295081967,0.46557377049180326,305.0,0.0061,6.017679908833223
15,350.0,517.0,0.40369088811995385,0.5963091118800461,867.0,0.01734,4.968613356716543
15 minut,68.0,231.0,0.22742474916387959,0.7725752508361204,299.0,0.00598,6.054607181425442
16,123.0,123.0,0.5,0.5,246.0,0.00492,6.203027186543714
17,150.0,135.0,0.5263157894736842,0.4736842105263158,285.0,0.0057,6.116015809554085
18,124.0,120.0,0.5081967213114754,0.4918032786885246,244.0,0.00488,6.221376325211911
1930,179.0,119.0,0.6006711409395973,0.3993288590604027,298.0,0.00596,5.993798176829835
1940,183.0,97.0,0.6535714285714286,0.3464285714285714,280.0,0.0056,6.099486507602874
1950,280.0,178.0,0.611353711790393,0.388646288209607,458.0,0.00916,5.558306599889243
1960,174.0,156.0,0.5272727272727272,0.4727272727272728,330.0,0.0066,5.9226444165735455
1970,235.0,242.0,0.49266247379454925,0.5073375262054507,477.0,0.00954,5.539402445250091
1980,255.0,209.0,0.5495689655172413,0.4504310344827587,464.0,0.00928,5.567894401044397
1990,144.0,137.0,0.5124555160142349,0.4875444839857651,281.0,0.00562,6.106065478700916
20,565.0,730.0,0.4362934362934363,0.5637065637065637,1295.0,0.0259,4.5798656928898165
