,name,positive,negative,positive_percent,negative_percent,total_calls,term_frequency,idf
0,0,150,184,0.449101796,0.550898204,334,0.006679999999999999,5.701701086
2,10 10,657,72,0.901234568,0.09876543199999999,729,0.014580000000000001,5.187796507
3,10 minut,77,286,0.212121212,0.787878788,363,0.007259999999999999,5.882262079
4,10 year,156,175,0.471299094,0.528700906,331,0.00662,5.959012061
5,100,360,414,0.46511627899999997,0.534883721,774,0.01548,5.088780184
6,11,230,205,0.5287356320000001,0.471264368,435,0.0087,5.581473658999999
7,12,286,281,0.504409171,0.495590829,567,0.011340000000000001,5.414569826
8,13,202,241,0.455981941,0.544018059,443,0.00886,5.627435795
9,14,163,142,0.53442623,0.46557377,305,0.0061,6.017679909
10,15,350,517,0.40369088799999997,0.596309112,867,0.01734,4.968613357
11,15 minut,68,231,0.22742474899999998,0.7725752509999999,299,0.00598,6.054607181000001
12,16,123,123,0.5,0.5,246,0.00492,6.203027187000001
13,17,150,135,0.526315789,0.473684211,285,0.0057,6.11601581
14,18,124,120,0.508196721,0.491803279,244,0.00488,6.221376325
15,1930,179,119,0.600671141,0.399328859,298,0.00596,5.993798177
16,1940,183,97,0.653571429,0.346428571,280,0.0056,6.099486507999999
17,1950,280,178,0.611353712,0.38864628799999995,458,0.00916,5.5583066
18,1960,174,156,0.527272727,0.47272727299999995,330,0.0066,5.922644417000001
19,1970,235,242,0.49266247399999996,0.507337526,477,0.00954,5.539402445
20,1980,255,209,0.549568966,0.450431034,464,0.00928,5.567894401
21,1990,144,137,0.512455516,0.487544484,281,0.00562,6.106065479
22,20,565,730,0.43629343600000003,0.563706564,1295,0.0259,4.579865693
23,20 minut,97,267,0.26648351600000003,0.733516484,364,0.00728,5.856218941
24,20 year,214,150,0.5879120879999999,0.41208791200000006,364,0.00728,5.876998909
25,2000,143,115,0.554263566,0.44573643399999996,258,0.0051600000000000005,6.192177171
26,2001,163,115,0.586330935,0.413669065,278,0.00556,6.057746901
27,2005,169,94,0.642585551,0.35741444899999997,263,0.00526,6.163806472999999
28,2006,136,87,0.609865471,0.390134529,223,0.00446,6.294345345
29,25,188,177,0.515068493,0.48493150700000004,365,0.0073,5.86655495
30,30,480,682,0.413080895,0.586919105,1162,0.02324,4.695320022
31,30 minut,66,239,0.21639344300000002,0.783606557,305,0.0061,6.051477287999999
32,40,351,353,0.498579545,0.501420455,704,0.01408,5.183851729
33,45,75,179,0.295275591,0.7047244090000001,254,0.0050799999999999994,6.228811304
34,50,442,472,0.483588621,0.516411379,914,0.01828,4.885401074
35,60,372,347,0.517385257,0.48261474299999996,719,0.01438,5.136437338
36,70,526,468,0.52917505,0.47082495,994,0.019880000000000002,4.767077235
37,80,578,676,0.46092504,0.53907496,1254,0.02508,4.49728785
38,90,375,662,0.36162005799999997,0.638379942,1037,0.02074,4.796930198
39,90 minut,90,298,0.231958763,0.768041237,388,0.0077599999999999995,5.791519763999999
40,abandon,243,241,0.5020661160000001,0.497933884,484,0.00968,5.569823042
41,abil,504,440,0.533898305,0.466101695,944,0.01888,4.887350393
42,abl,1153,972,0.542588235,0.457411765,2125,0.0425,4.058905088
44,absorb,181,83,0.685606061,0.314393939,264,0.00528,6.188586502000001
45,absurd,193,390,0.331046312,0.668953688,583,0.01166,5.355209981000001
46,abus,275,256,0.517890772,0.48210922799999995,531,0.010620000000000001,5.37090889
47,academi,300,149,0.6681514479999999,0.331848552,449,0.00898,5.597222016
48,academi award,225,74,0.752508361,0.24749163899999999,299,0.00598,6.0452467389999995
49,accent,353,600,0.370409234,0.629590766,953,0.01906,4.79425997
